code,brands,product_name,pnns_groups_2,nutriscore_score,nutriscore_grade,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,url,image_url
7501030459620,Bimbo,Multigrano arandanos y sabor fresa,Biscuits and cakes,11.0,d,1940.0,29.4,4.41,0.411,5.88,5.88,15.0,http://world-fr.openfoodfacts.org/produit/7501030459620/multigrano-arandanos-y-sabor-fresa-bimbo,https://images.openfoodfacts.org/images/products/750/103/045/9620/front_es.5.400.jpg
3222476920348,Casino,Les gourmandises chocolat noir et fruits - Framboise et cranberries,Sweets,21.0,e,1958.0,60.0,13.0,0.02,3.3,4.6,23.0,http://world-fr.openfoodfacts.org/produit/3222476920348/les-gourmandises-chocolat-noir-et-fruits-framboise-et-cranberries-casino,https://images.openfoodfacts.org/images/products/322/247/692/0348/front_fr.4.400.jpg
4316268596466,"Clarkys, Netto MD",Tortilla Chips - Salted,One-dish meals,1.0,b,1979.0,0.8,2.0,0.9,6.6,4.0,0.0,http://world-fr.openfoodfacts.org/produit/4316268596466/tortilla-chips-salted-clarkys,https://images.openfoodfacts.org/images/products/431/626/859/6466/front_de.8.400.jpg
5941768000183,Sweet & Safe,Stevia chocolate,Chocolate products,14.0,d,1741.1,14.4,20.2,0.3,11.3,10.2,0.0,http://world-fr.openfoodfacts.org/produit/5941768000183/stevia-chocolate-sweet-safe,https://images.openfoodfacts.org/images/products/594/176/800/0183/front_en.27.400.jpg
8005190401455,Maina,Il Pandoro,Pastries,19.0,e,1695.0,18.0,12.0,0.65,8.4,1.6,0.0,http://world-fr.openfoodfacts.org/produit/8005190401455/il-pandoro-maina,https://images.openfoodfacts.org/images/products/800/519/040/1455/front_fr.22.400.jpg
9310988009294,Thins,Light & Tangy,Appetizers,21.0,e,2080.0,4.0,14.3,1.76022,6.1,2.6,0.0,http://world-fr.openfoodfacts.org/produit/9310988009294/light-tangy-thins,https://images.openfoodfacts.org/images/products/931/098/800/9294/front_en.13.400.jpg
7614800265229,Kambly,ECLATS DE NOISETTES - KAMBLY - 100g,Biscuits and cakes,27.0,e,2348.0,45.0,22.0,0.26,9.1,0.0,11.0,http://world-fr.openfoodfacts.org/produit/7614800265229/eclats-de-noisettes-kambly-100g,https://images.openfoodfacts.org/images/products/761/480/026/5229/front_fr.2580.400.jpg
3560070510108,"Carrefour Bio, Carrefour",Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes,Biscuits and cakes,10.0,c,2061.0,27.0,3.9,0.3,7.6,5.0,22.4333333333333,http://world-fr.openfoodfacts.org/produit/3560070510108/biscuits-petit-dejeuner-cereales-pepites-de-chocolat-et-noisettes-carrefour-bio,https://images.openfoodfacts.org/images/products/356/007/051/0108/front_fr.47.400.jpg
4007993016922,Oreo,Oreo,Ice cream,21.0,e,1409.0,28.1,13.8,0.3,2.7,0.7,0.0,http://world-fr.openfoodfacts.org/produit/4007993016922/oreo,https://images.openfoodfacts.org/images/products/400/799/301/6922/front_fr.7.400.jpg
3339740012309,BPA,Pâté abricots individuel 160g,Biscuits and cakes,13.0,d,1117.0,23.0,5.8,0.5,3.9,1.8,42.3333333333333,http://world-fr.openfoodfacts.org/produit/3339740012309/pate-abricots-individuel-160g-bpa,https://images.openfoodfacts.org/images/products/333/974/001/2309/front_fr.13.400.jpg
8437007383270,daveiga,Galletas Mariñeiras Lino,Appetizers,7.0,c,1833.0,2.3,1.7,1.4,12.0,4.9,9.0,http://world-fr.openfoodfacts.org/produit/8437007383270/galletas-marineiras-lino-daveiga,https://images.openfoodfacts.org/images/products/843/700/738/3270/front_es.13.400.jpg
3336971410027,"Vico,Intersnack",La Vicoise,Appetizers,2.0,b,2001.0,0.64,2.4,0.89,6.2,5.4,4.66666666666666,http://world-fr.openfoodfacts.org/produit/3336971410027/la-vicoise-vico,https://images.openfoodfacts.org/images/products/333/697/141/0027/front_fr.94.400.jpg
8431876242492,Carrefour,Galletas mini maría,Biscuits and cakes,10.0,c,1815.0,19.0,0.9,0.85,7.5,2.5,0.0,http://world-fr.openfoodfacts.org/produit/8431876242492/galletas-mini-maria-carrefour,https://images.openfoodfacts.org/images/products/843/187/624/2492/front_es.20.400.jpg
8431876278613,Carrefour,Barquillos rellenos crema almendra,Biscuits and cakes,20.0,e,2011.0,50.0,5.8,0.27,5.1,2.5,6.0,http://world-fr.openfoodfacts.org/produit/8431876278613/barquillos-rellenos-crema-almendra-carrefour,https://images.openfoodfacts.org/images/products/843/187/627/8613/front_es.22.400.jpg
3560070996131,Carrefour,Biscuithé,Biscuits and cakes,16.0,d,1927.0,26.0,6.5,0.7,7.4,3.0,0.0,http://world-fr.openfoodfacts.org/produit/3560070996131/biscuithe-carrefour,https://images.openfoodfacts.org/images/products/356/007/099/6131/front_fr.34.400.jpg
3596710333844,Auchan,Madeleines longues,Biscuits and cakes,15.0,d,1969.0,28.0,2.2,0.61,5.0,0.5,21.3333333333333,http://world-fr.openfoodfacts.org/produit/3596710333844/madeleines-longues-auchan,https://images.openfoodfacts.org/images/products/359/671/033/3844/front_fr.37.400.jpg
7622201804305,"Terrabusi,Mondelez",Variedad,Biscuits and cakes,4.0,c,576.0,10.0,2.2,0.06,1.8,0.5,0.0,http://world-fr.openfoodfacts.org/produit/7622201804305/variedad-terrabusi,https://images.openfoodfacts.org/images/products/762/220/180/4305/front_es.24.400.jpg
8480000125330,Hacendado,Choco fundir con leche,Chocolate products,23.0,e,2215.0,52.0,19.0,0.1,8.3,3.6,0.0,http://world-fr.openfoodfacts.org/produit/8480000125330/choco-fundir-con-leche-hacendado,https://images.openfoodfacts.org/images/products/848/000/012/5330/front_es.15.400.jpg
