id,name,nutriscore,energy,fat_g,sugar_g,sodium_mg,perc_fruit,fibers_g,proteins_g,nutriscore,G_0,PMS_0.5,PMS_0.6,PMS_0.7,OMS_0.5,OMS_0.6,OMS_0.7,Decision Tree,kNN,Random Forest
3.16893E+12,Cruesli Mélange De Noix,a,1933.008,19,12,0,0,10,8.5,a,b,a,b,c,a,c,d, c, e, a
80135463,,e,2255.176,30.9,56.3,42.8,0,0,6.3,e,e,e,e,e,e,e,e, e, e, e
20267605,Anacardi,b,2510.4,47.6,6.5,8,0,5.2,20.5,b,b,a,a,d,a,b,e, b, b, d
5.41119E+12,Almonddrink,b,54.392,1.1,0,56,0,0.3,0.4,b,c,e,e,e,e,e,e, b, b, b
3.16893E+12,Flocons d'avoine complète,a,1569,8,1.1,4,0,9,11,a,b,a,a,c,a,a,d, a, a, a
3.15947E+12,Corn flakes,b,1581.552,0.9,8,440,0,3,7,b,b,c,c,c,d,d,d, b, b, b
8.0768E+12,Spaghetti n.5,a,1502.056,2,3.5,4,0,3,13,a,b,b,c,c,c,d,d, a, a, a
20047238,Alesto mixed nuts (walnuts,,,,,,,,,a,b,a,a,e,a,a,e, c, b, b
5.01003E+12,Weetabix,a,1514.608,2,4.2,112,0,10,12,a,b,a,a,b,a,b,c, a, a, a
5.41119E+12,,b,108.784,1.1,3.1,56,0,0.3,0.4,b,c,e,e,e,e,e,e, b, b, b
3.22982E+12,Amande sans sucre,b,104.6,1.7,0.5,20,0,0.5,0.7,b,c,e,e,e,e,e,e, b, b, b
7.39438E+12,Hafer Barista Edition,b,246.856,3,3.4,40,0,0.8,1.1,b,c,e,e,e,e,e,e, b, b, b
5.41119E+12,No sugars oat,a,167.36,1.5,0,36,0,1.2,0.2,a,c,e,e,e,e,e,e, a, a, a
5.01003E+12,Crispy minis,a,1615.024,5.1,17,64,0,10,10,a,b,a,b,c,a,c,d, a, a, a
80042556,Tomaten Fruchtfleisch,a,108.784,0.2,2.8,120,0,0,1.2,a,c,e,e,e,e,e,e, a, b, b
5.06004E+12,Lightly sea salted crisps,b,1991.584,27,0.64,336,0,5.5,6.2,b,c,b,b,c,c,c,d, b, b, c
80176800,Nutella,e,2230.072,30.9,56.3,44,0,3,6.3,e,d,c,d,e,d,e,e, e, e, e
5.41119E+12,Oat,a,184.096,1.4,2.6,40,0,1.9,0.4,a,c,d,d,e,e,e,e, b, a, a
5.05399E+12,Sour Cream & Onion,d,2242.624,32,2.4,560,0,2.9,4.6,d,c,c,d,d,d,e,e, d, d, d
5.05383E+12,Smacks,c,1577.368,1.6,34,8,0,5,7.1,c,b,b,b,c,c,c,d, b, a, c
5.00016E+12,Heinz Beanz In a rich tomato sauce,a,338.904,0.4,4.3,240,34,3.9,4.8,a,b,b,b,c,c,c,d, a, a, a
5.41119E+12,Kokosnuss ohne Zucker,b,58.576,1.2,0,28,0,0,0.1,b,c,e,e,e,e,e,e, b, b, b
5.01003E+12,Weetabix Original,a,1514.608,2,4.2,112,0,10,12,a,b,a,a,b,a,b,c, a, a, a
8.41008E+12,Riegel Oats & Honey,c,1953.928,18.1,26.8,340,0,6.4,8.7,c,c,b,c,c,c,d,d, c, b, c
7.3004E+12,Original,a,1397.456,1.5,1,400,0,19,9,a,b,a,a,c,a,b,d, a, a, a
5.01003E+12,Swiss Style Muesli No Added Sugar,a,1543.896,5.8,16,112,15,8.3,12,a,b,a,b,c,b,c,d, a, a, a
20101268,Nougat Bits / Choco Hazelnut Pillows,c,1861.88,15.4,28.5,160,0,4.8,7.2,c,c,b,c,d,c,d,e, c, a, c
5.41119E+12,Plant protein chocolate flavour,a,288.696,2.8,5,64,0,1.3,5,a,c,c,c,e,d,d,e, a, a, a
8.0087E+12,Seeded Loaf (Bread),b,1041.816,6.6,4.1,388,0,9.9,4.5,b,c,c,c,c,d,d,d, a, a, b
8.0087E+12,Maestro classic,a,974.872,3.4,3.3,396,0,8.1,3.5,a,b,b,c,d,c,d,e, a, a, a
7.39438E+12,Hafer Haver Calcium,b,188.28,1.5,4,40,0,0.8,1,b,c,e,e,e,e,e,e, b, a, b
5.70198E+12,,d,2782.36,75,0.5,360,0,0,0.5,d,e,e,e,e,e,e,e, d, b, c
20004132,Tomaten gehackt,c,108.784,0.2,2.7,520,0,0,1.3,c,c,e,e,e,e,e,e, c, a, c
4.00041E+12,Vegane Mühlen Schnitzel,a,849.352,10,0.6,640,0,6.4,14,a,c,a,b,d,a,c,e, a, a, a
