code,brands,product_name,pnns_groups_2,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruit_vege_nut_100g,nutriscore_grade,fit_nutri_grade,opt_el_tri_50_grade,pes_el_tri_50_grade
7501030459620,Bimbo,Multigrano arandanos y sabor fresa,Biscuits and cakes,1940.0,29.4,4.41,0.411,5.88,5.88,15.0,d,c,c,d
3222476920348,Casino,Les gourmandises chocolat noir et fruits - Framboise et cranberries,Sweets,1958.0,60.0,13.0,0.02,3.3,4.6,23.0,e,e,d,d
4316268596466,"Clarkys, Netto MD",Tortilla Chips - Salted,One-dish meals,1979.0,0.8,2.0,0.9,6.6,4.0,0.0,b,b,d,d
5941768000183,Sweet & Safe,Stevia chocolate,Chocolate products,1741.1,14.4,20.2,0.3,11.3,10.2,0.0,d,d,c,c
8005190401455,Maina,Il Pandoro,Pastries,1695.0,18.0,12.0,0.65,8.4,1.6,0.0,e,e,c,e
9310988009294,Thins,Light & Tangy,Appetizers,2080.0,4.0,14.3,1.76022,6.1,2.6,0.0,e,e,d,e
7614800265229,Kambly,ECLATS DE NOISETTES - KAMBLY - 100g,Biscuits and cakes,2348.0,45.0,22.0,0.26,9.1,0.0,11.0,e,e,e,e
3560070510108,"Carrefour Bio, Carrefour",Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes,Biscuits and cakes,2061.0,27.0,3.9,0.3,7.6,5.0,22.4333333333333,c,b,c,c
4007993016922,Oreo,Oreo,Ice cream,1409.0,28.1,13.8,0.3,2.7,0.7,0.0,e,e,d,e
3339740012309,BPA,Pâté abricots individuel 160g,Biscuits and cakes,1117.0,23.0,5.8,0.5,3.9,1.8,42.3333333333333,d,d,d,d
8437007383270,daveiga,Galletas Mariñeiras Lino,Appetizers,1833.0,2.3,1.7,1.4,12.0,4.9,9.0,c,b,c,c
3336971410027,"Vico,Intersnack",La Vicoise,Appetizers,2001.0,0.64,2.4,0.89,6.2,5.4,4.66666666666666,b,b,c,c
8431876242492,Carrefour,Galletas mini maría,Biscuits and cakes,1815.0,19.0,0.9,0.85,7.5,2.5,0.0,c,b,c,c
8431876278613,Carrefour,Barquillos rellenos crema almendra,Biscuits and cakes,2011.0,50.0,5.8,0.27,5.1,2.5,6.0,e,e,d,e
3560070996131,Carrefour,Biscuithé,Biscuits and cakes,1927.0,26.0,6.5,0.7,7.4,3.0,0.0,d,d,c,d
3596710333844,Auchan,Madeleines longues,Biscuits and cakes,1969.0,28.0,2.2,0.61,5.0,0.5,21.3333333333333,d,d,d,d
7622201804305,"Terrabusi,Mondelez",Variedad,Biscuits and cakes,576.0,10.0,2.2,0.06,1.8,0.5,0.0,c,d,e,e
8480000125330,Hacendado,Choco fundir con leche,Chocolate products,2215.0,52.0,19.0,0.1,8.3,3.6,0.0,e,e,d,d
3178530413199,St Michel,Doonuts Nappé Chocolat France,Biscuits and cakes,1861.0,31.0,4.4,0.39,5.6,1.0,22.0,d,d,d,d
4316268631914,Clarkys,Light Riffelchips gesalzen,One-dish meals,2022.0,0.5,1.8,1.5,7.0,5.0,0.0,c,b,c,d
4316268635660,Clarkys,Scharfe Knabber-Nüsse mit Chili,Nuts,2514.0,4.4,7.0,0.7,26.0,9.4,95.2,b,a,a,a
3770009601368,Matatie,Moelleux pépites chocolat Bio sans allergènes,Biscuits and cakes,497.0,8.0,1.3,0.14,0.8,1.2,0.0,b,c,e,e
8410376033649,Gullón,Gullon Maria Doroda,Biscuits and cakes,1771.0,1.5,1.4,0.85,7.3,5.3,0.0,b,a,c,c
3250391371952,Netto,Petit Beurre Complet / Riche en fibres / au blé complet,Biscuits and cakes,1878.0,16.7,9.4,1.11,9.1,6.7,0.0,d,d,c,c
3560070936106,"Simpl,Carrefour",Biscuit tablette,Biscuits and cakes,2057.0,34.0,12.0,0.49,6.6,2.6,0.0,e,e,d,e
3564700582701,"Épi d'Or,Marque Repère, Epid'or",Petits pains grillés blé complet sans sucres ajoutés,Bread,1644.0,2.8,0.6,1.4,12.0,6.3,7.2,b,a,c,c
4008355032611,Wicklein,Glückstaler Klassik - mit extra viel Butter,Biscuits and cakes,2185.0,24.7,18.3,0.25,6.9,2.5,0.0,e,e,d,e
3596710486984,Vendome,Les chocolats belges,Sweets,2171.0,48.0,17.0,0.16,6.2,3.6,3.3205047249794,e,e,d,d
7613331643094,coop,Crackers pomme épeautre,Appetizers,1760.0,19.0,1.2,1.0,12.0,6.0,28.5,c,b,c,c
7891962036915,Bauducco,Wafer Chocolate con Avellana,Biscuits and cakes,626.0,13.0,3.6,0.15,1.6,0.9,3.125,c,d,e,e
