product_name,Opt_classification_60
Multigrano arandanos y sabor fresa,D
Les gourmandises chocolat noir et fruits - Framboise et cranberries,D
Tortilla Chips - Salted,D
Stevia chocolate,C
Il Pandoro,E
Light & Tangy,E
ECLATS DE NOISETTES - KAMBLY - 100g,E
Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes,C
Oreo,E
Pâté abricots individuel 160g,D
Galletas Mariñeiras Lino,C
La Vicoise,C
Galletas mini maría,C
Barquillos rellenos crema almendra,E
Biscuithé,D
Madeleines longues,D
Variedad,E
Choco fundir con leche,D
Doonuts Nappé Chocolat France,D
Light Riffelchips gesalzen,D
Scharfe Knabber-Nüsse mit Chili,A
Moelleux pépites chocolat Bio sans allergènes,E
Gullon Maria Doroda,C
Petit Beurre Complet / Riche en fibres / au blé complet,C
Biscuit tablette,E
Petits pains grillés blé complet sans sucres ajoutés,C
Glückstaler Klassik - mit extra viel Butter,E
Les chocolats belges,D
Crackers pomme épeautre,C
Wafer Chocolate con Avellana,E
Marmor Butter Sterne,E
Orange intense 100g,D
Dinkelsticks Gerösteter Sesam,C
Palmeritas,E
Saveur Ch'ti sauce Pom'Frites,D
"Café molido, natural sabor fuerte",A
"4 Feuilletés Jambon Fromage, Surgelés",D
"Cookies Noix de Coco, Dattes et Noix de Cajou",C
Bubbly Alpine Milk,E
Coleslaw Sauce Douce,C
Amandes gout fumé,B
Roasted Seaweed Snack,B
Chips Sour Cream & Onion,D
Caramelos jengibre & própolis 0% azúcares,B
Atlantis Original,E
Snack-Erbsen ungarische Paprika,B
,D
Cracker con riso soffiato,D
Strawberry squeeze,C
Snack de Pan con pipas,D
Petits Plaisirs saveur Cappuccino au chocolat noir suisse,D
Suikervrije softgums,E
Wok - Légumes japonais et lait de coco,D
Coleslaw à la moutarde à l'ancienne,B
Dinkel Frischei Waffeln,E
Déjeuner REM,C
Cream'loop enrobés de chocolat blanc,E
"Date, hazelnut & cocoa bars",C
Haselnuss Riegel,C
Tartine craquante sarrasin riz maïs,C
Naturals Meersalz & Pfeffer,D
Dinkel Schoko-Split mit Zartbitterschokolade,D
Biscuits pépites de chocolat quinoa,D
Triángulos de maíz,D
Proper Corn - Sweet Coconut & Vanilla,C
Lulu La Barquette Fraise,E
Macédoine de légumes,B
Noir dessert corsé 64% de cacao,C
Apple crumble,D
Cheetos torciditos,D
Wafle ryżowe wieloziarniste,C
Prosport - barre cacahuètes 🥜et caramel salé,C
,D
Funny Ghost,E
"KITKAT White barre au chocolat blanc, 8x41.5g",E
Mandel Magic,A
Galettes Potiron Butternut Carottes,B
Knusprige Salz Tortilla Chips,C
Chocolat,E
Gomme goût menthe eucalyptus,B
Tartines craquantes au blé complet,C
Yoğurt ve Mevsim Yeşillikli Patates Cipsi,D
Tartines craquantes Sarrasin,C
Qualité & Prix Chocolate au lait suisse,E
Crumpets nature,D
Chocolat noir tablette,C
4 muffins citron & pavot,C
Chocolat noir 100+,E
Pain au lait pur beurre,D
Noir Special 72 Chocolat extra noir,D
La Gourmande 30g,D
Crocantes chocolate,D
Witte choco framboos vlaai,E
Pastilles Eucalyptus Menthol sans sucre,E
Malt loaf,C
Assortiment de recettes libanaises avec sauce sésame,C
Love Corn maïs grillé au sel de mer,C
Pringles Sour Cream and Onion,D
Coleslaw,B
Taillaule,C
Mix N 1,A
Kinder schokobons bonbons de chocolat au lait fourres lait et noisettes sachet,E
Friture chocolat au lait praliné,E
Crunchips au sel fin,D
Winegums suikervrij,E
KITKAT Sachet d'oeufs 120g,E
Barre daily carotte,B
Biscuit the vert saveur mandarine,C
Prestige Caramel ,E
Macédoine de légumes,B
Patates camperoles,C
,D
Kessel Chips Sweet Chili Style,D
Patatas fritas,C
Pals barra crema de cacahuate,C
Ricola Menthe Pomme,E
Tartines craquantes Multicéréales,C
BALATON® Ét,E
biscuits avoine complete,C
Chocolat lait Amandes & nougat,D
Tortillas chips saveur chili,D
l’original lait,D
1936 Antica Ricetta,C
Waffel Eier,D
Biscuits Bio Sésame Spiruline,C
Tiramisu speculoos,D
Pépites wasabi,C
"Chips - à l'ancienne, nature",C
Barra Trigo Avena Con Nuez y Almendra Caja Display,D
百草味抹茶味麻薯,E
Fines Gaufrettes framboise,E
Protifast barres Crousti' noisette,B
Galettes suédoises aux flocons d'avoine,E
Organic Rice Cakes Mini,C
Tranches de cake abricots secs et müesli,D
Chocolat au lait intense - 42%,D
Nature of nuts,A
Chocolat 64% Cacao,D
Pâte d'amande tricolore (26%),E
Triangles goût ratatouille,D
Eucalyptus,E
Craquant chocolat noisettes,D
Croustillants Goût bacon,D
Les délicieux sablés aux pommes,E
Chips BIO à base de pois chiche - Paprika - 110g,C
"Fruchtriegel Birne, pflaume & brombeere",D
Galletas Digestive Sésamo 0% azúcares,C
Tortilla Chips Nature,D
Vanille-Kipferl Nr. 6,D
"Bella sun luci, premium california sun dried tomatoes halves",B
Barres céréalières Goût Chocolat - banane,D
Feuilletés apéritif,D
Lacasitos Chocolate con Leche,E
15 Broyés du Poitou,E
Chocolat noir corsé pâtissier,D
Barquettes Abricot,E
Mints peppermint,E
Torreznos,E
Carottes râpées bio,B
LiberIGPistacchi tostati senza sale aggiunto,A
Cocktail edamame y soja,B
Parle-G,D
Polvorones de Estepa,D
Crackers,D
"Marabou Bär, granola & yoghurt",E
flap jack chocolate bar,D
Dégustation Sel de mer d'Anglesey,C
Roter Beerenmix Fruchtchips,A
Veritable Kouign Amann Breton,E
CHOCAPIC barres de céréales,E
La Cremeria,E
PORTION 2CAROTTE/2COLESLAW,C
Mars,E
Gâteau au fromage blanc,C
Tack,E
Cookies Maxi pépites chocolat,D
Smokey paprika and almonds,D
Pistaches grillées salées,B
Cuore di cereale. Biscotti di avena con frutti rossi,C
Goûters Fourrés Parfum Vanille,E
Galettes Bretonnes pur beurre,E
Tartines Ki'Kroc,C
Tangy Cheese Tortilla Chips,C
yummy beans,C
Chocolate con Leche,E
Ciocco biscotti,D
Pain d'Épices bonhomme écharpe,D
Flamegrilled aberdeen angus Potato Chips,D
Bon Bon Bum Watermelon/Sandía,E
Turrón de chocolate con almendras,C
,C
Garfitos,E
6 Tortillas,D
Barquettes chocolat-noisettes,E
Brossard - lot2 mini brownie chocolat noisettes x8,D
Lt2 p'tit savane rigolo chocolat 150g,C
Pure Chocolade 75%,C
Saveur cassis,E
Protein Cookies & Cream Bars,C
Aldi “Village Bakery”,C
Ekin,E
Wasabi Crackers Mitsuba,D
Müsliriegel ohne Zuckerzusatz - Weiße Schoko,D
Meiji Hello Panda strawberry,E
